Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
0900-09=,Chirip,Russia,Kuril Is,45.38,147.92,1589.0,Stratovolcano,Historical,D3
0900-15=,Chirpoi,Russia,Kuril Is,46.525,150.875,742.0,Caldera,Historical,D1
0803-22=,Chokai,Japan,Honshu-Japan,39.08,140.03,2237.0,Stratovolcano,Historical,D1
0202-13=,Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188.0,Volcanic field,Anthropology,D3
1404-132,"Ciguatepe, Cerro El",Nicaragua,Nicaragua,12.53,-86.142,603.0,Stratovolcano,Holocene,Unknown
1202-15-,Cinnamon Butte,United States,US-Oregon,43.241,-122.108,1956.0,Cinder cone,Holocene,Unknown
1403-051,"Cinotepec, Cerro",El Salvador,El Salvador,14.02,-89.25,665.0,Volcanic field,Holocene,U
0401-101,Clark,New Zealand,New Zealand,-36.446,177.839,-860.0,Submarine volcano,Fumarolic,U
1203-10-,Clear Lake,United States,US-California,38.97,-122.77,1439.0,Volcanic field,Holocene,U
1301-02-,Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,-2140.0,Submarine volcano,Historical,D1
1101-24-,Cleveland,United States,Aleutian Is,52.82,-169.95,1730.0,Stratovolcano,Historical,D1
1403-041,Coatepeque Caldera,El Salvador,El Salvador,13.87,-89.55,746.0,Caldera,Holocene,U
0304-05-,"Cochons, Ile Aux",Indian Ocean,Indian O-S,-46.1,50.23,775.0,Stratovolcano,Holocene,U
1401-096,Cofre de Perote,Mexico,Mexico,19.492,-97.15,4282.0,Shield volcano,Radiocarbon,D6
1505-095,Colachi,Chile,Chile-N,-23.23,-67.65,5631.0,Stratovolcano,Holocene,U
0505-053,Coleman Seamount,Solomon Is.,Solomon Is-SW Pacifi,-8.83,157.17,0.0,Submarine volcano,Holocene,U
1401-04=,Colima,Mexico,Mexico,19.514,-103.62,3850.0,Stratovolcano,Historical,D1
1505-021,"Colluma, Cerro",Bolivia,Bolivia,-18.5,-68.07,3876.0,Maar,Holocene,Unknown
0606-01=,Colo [Una Una],Indonesia,Sulawesi-Indonesia,-0.17,121.608,507.0,Stratovolcano,Historical,D1
1401-012,Comondu-La Purisima,Mexico,Mexico,26.0,-111.92,780.0,Volcanic field,Holocene,Unknown
1404-12=,Concepcion,Nicaragua,Nicaragua,11.538,-85.622,1700.0,Stratovolcano,Historical,D1
1403-11=,Conchagua,El Salvador,El Salvador,13.277,-87.853,1250.0,Stratovolcano,Uncertain,Unknown
1403-12=,Conchaguita,El Salvador,El Salvador,13.22,-87.765,550.0,Stratovolcano,Historical,D3
1508-09-,"Cook, Isla",Chile,Chile-S,-54.95,-70.27,150.0,Lava dome,Holocene,U
1507-09=,Copahue,Chile,Chile-C,-37.85,-71.17,2965.0,Stratovolcano,Historical,D1
1505-14-,Copiapo,Chile,Chile-N,-27.3,-69.13,6052.0,Stratovolcano,Uncertain,Unknown
0201-29-,Corbetti Caldera,Ethiopia,Africa-NE,7.18,38.43,2320.0,Caldera,Holocene,U
1508-05=,Corcovado,Chile,Chile-S,-43.18,-72.8,2300.0,Stratovolcano,Historical,D3
1505-103,Cordon Chalviri,Chile,Chile-N,-23.85,-67.62,5623.0,Stratovolcano,Holocene,U
1505-102,Cordon de Puntas Negras,Chile,Chile-N,-23.75,-67.53,5852.0,Stratovolcano,Holocene,U
1505-121,Cordon del Azufre,Argentina,Chile-N,-25.33,-68.52,5463.0,Complex volcano,Holocene,U
1401-005,Coronado,Mexico,Mexico,29.08,-113.513,440.0,Stratovolcano,Fumarolic,U
1504-001,Coropuna,Peru,Peru,-15.52,-72.65,6377.0,Stratovolcano,Holocene,U
1802-002,Corvo,Portugal,Azores,39.67,-31.07,715.0,Stratovolcano,Holocene,U
1404-01=,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872.0,Stratovolcano,Historical,D3
1203-18-,Coso Volc Field,United States,US-California,36.03,-117.82,2400.0,Lava dome,Holocene,Unknown
1502-05=,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911.0,Stratovolcano,Historical,D2
1508-025,Crater Basalt Volc Field,Argentina,Chile-S/Argentina,-42.017,-70.183,1359.0,Cinder cones,Holocene,U
1202-16-,Crater Lake,United States,US-Oregon,42.93,-122.12,2487.0,Caldera,Radiocarbon,D7
0503-001,Crater Mountain,Papua New Guinea,New Guinea,-6.58,145.08,3233.0,Stratovolcano,Holocene,Unknown
1204-02-,Craters of the Moon,United States,US-Idaho,43.42,-113.5,2005.0,Cinder cone,Radiocarbon,D7
1200-11-,Crow Lagoon,Canada,Canada,54.7,-130.23,335.0,Pyroclastic cone,Holocene,U
0705-02-,Cu-Lao Re Group,Vietnam,SE Asia,15.38,109.12,181.0,Volcanic field,Holocene,U
1502-002,Cuicocha,Ecuador,Ecuador,0.308,-78.364,3246.0,Caldera,Radiocarbon,D7
1402-111,Cuilapa-Barbarena,Guatemala,Guatemala,14.333,-90.4,1454.0,Volcanic field,Holocene,U
1402-121,Cuilapa-Barbarena,Guatemala,Guatemala,14.33,-90.4,1454.0,Volcanic field,Holocene,U
1501-10=,Cumbal,Colombia,Colombia,0.98,-77.88,4764.0,Stratovolcano,Historical,D2
1401-098,"Cumbres, Las",Mexico,Mexico,19.15,-97.27,3940.0,Stratovolcano,Radiocarbon,D7
0403-101,Curacoa,Tonga,Tonga-SW Pacific,-15.62,-173.67,-33.0,Submarine volcano,Historical,D1
0403-102,Curacoa,Tonga,Tonga-SW Pacific,-15.617,-173.667,-33.0,Submarine volcano,Historical,D2
0402-01=,Curtis Island,New Zealand,Kermadec Is,-30.542,-178.561,137.0,Submarine volcano,Uncertain,Unknown
1505-19-,"Cóndor, Cerro el",Argentina,Argentina,-26.617,-68.35,6532.0,Stratovolcano,Holocene,U
0201-113,Dabbahu,Ethiopia,Africa-NE,12.6,40.48,1442.0,Stratovolcano,Holocene,U
0201-114,Dabbayra,Ethiopia,Africa-NE,12.38,40.07,1302.0,Shield volcano,Holocene,U
0302-06-,Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,3800.0,Lava dome,Holocene,U
0804-137,Daikoku,Japan,Volcano Is-Japan,21.324,144.194,-323.0,Submarine volcano,Fumarolic,U
0805-06=,Daisetsu,Japan,Hokkaido-Japan,43.68,142.88,2290.0,Stratovolcano,Tephrochronology,D6
0502-04=,Dakataua,Papua New Guinea,New Britain-SW Pac,-5.056,150.108,400.0,Caldera,Anthropology,D3
0201-07=,Dalaffilla,Ethiopia,Africa-NE,13.792,40.55,613.0,Stratovolcano,Holocene,U
0201-041,Dallol,Ethiopia,Africa-NE,14.242,40.3,-48.0,Explosion crater,Historical,D2
0201-141,Dama Ali,Ethiopia,Africa-NE,11.28,41.63,1068.0,Shield volcano,Historical,D5
0302-01-,Damavand,Iran,Iran,35.951,52.109,5670.0,Stratovolcano,Holocene,U
1102-05-,Dana,United States,Alaska Peninsula,55.62,-161.22,1354.0,Stratovolcano,Radiocarbon,D7
0603-01=,Danau Complex,Indonesia,Java,-6.2,105.97,1778.0,Caldera,Holocene,U
0104-08-,Dar-Alages,Armenia,Armenia,39.7,45.542,3329.0,Unknown,Holocene,U
1003-04-,Dariganga Volc Field,Mongolia,Mongolia,45.33,114.0,1778.0,Cinder cone,Holocene,U
1503-03=,"Darwin, Volcan",Ecuador,Galapagos,-0.18,-91.28,1330.0,Shield volcano,Holocene,D3
0601-21=,"Daun, Bukit",Indonesia,Sumatra,-3.38,102.37,2467.0,Stratovolcano,Fumarolic,U
1101-04-,Davidof,United States,Aleutian Is,51.97,178.33,328.0,Stratovolcano,Holocene,Unknown
1202-10-,Davis Lake,United States,US-Oregon,43.57,-121.82,2163.0,Volcanic field,Radiocarbon,D7
0503-06=,Dawson Strait Group,Papua New Guinea,D'Entrecasteaux Is,-9.62,150.88,500.0,Volcanic field,Hydration Rind,D6
1900-03=,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576.0,Caldera,Historical,D1
0900-11-,Demon,Russia,Kuril Is,45.5,148.85,1205.0,Stratovolcano,Holocene,U
0601-23=,Dempo,Indonesia,Sumatra,-4.03,103.13,3173.0,Stratovolcano,Historical,D1
1102-21-,Denison,United States,Alaska Peninsula,58.42,-154.45,2318.0,Stratovolcano,Uncertain,Unknown
1507-05=,Descabezado Grande,Chile,Chile-C,-35.58,-70.75,3953.0,Stratovolcano,Historical,D2
1202-12-,Devils Garden,United States,US-Oregon,43.512,-120.861,1698.0,Volcanic field,Holocene,Unknown
1002-04-,Dgida Basin,Russia,Russia-SE,50.52,103.25,1500.0,Cinder cone,Holocene,U
0301-12-,"Dhamar, Harras of",Yemen,Arabia-S,14.57,44.67,3500.0,Volcanic field,Historical,D2
1600-08=,"Diable, Morne Au",Dominica,W Indies,15.62,-61.45,861.0,Stratovolcano,Fumarolic,U
1600-09=,"Diablotins, Morne",Dominica,W Indies,15.5,-61.42,1430.0,Stratovolcano,Holocene,U
1202-17-,Diamond Craters,United States,US-Oregon,43.1,-118.75,1435.0,Volcanic field,Holocene,Unknown
0704-02=,Didicas,Philippines,Luzon-N of,19.077,122.202,244.0,Compound volcano,Historical,D1
0603-20=,Dieng Volc Complex,Indonesia,Java,-7.2,109.92,2565.0,Complex volcano,Historical,D1
1000-022,Diky Greben,Russia,Kamchatka,51.43,157.0,1070.0,Lava dome,Radiocarbon,D6
0201-18=,Dofen,Ethiopia,Africa-NE,9.35,40.13,1151.0,Stratovolcano,Holocene,U
0503-00-,Doma Peaks,Papua New Guinea,New Guinea,-5.9,143.15,3568.0,Stratovolcano,Holocene,Unknown
1507-067,Domuyo,Argentina,Argentina,-36.63,-70.42,4709.0,Stratovolcano,Holocene,Unknown
1802-07=,Don Joao de Castro Bank,Portugal,Azores,38.23,-26.63,-14.0,Submarine volcano,Historical,D4
1501-07=,Dona Juana,Colombia,Colombia,1.47,-76.92,4150.0,Stratovolcano,Historical,D2
1208-01-,Dotsero,United States,US-Colorado,39.65,-107.03,2230.0,Maar,Radiocarbon,D7
1102-27-,Douglas,United States,Alaska Peninsula,58.87,-153.55,2140.0,Stratovolcano,Fumarolic,U
0804-095,Doyo Seamount,Japan,Izu Is-Japan,27.683,140.8,-860.0,Submarine volcano,Fumarolic,U
0201-10=,Dubbi,Eritrea,Africa-NE,13.58,41.808,1625.0,Stratovolcano,Historical,D3
0608-01=,Dukono,Indonesia,Halmahera-Indonesia,1.68,127.88,1185.0,Complex volcano,Historical,D1
1105-05-,Duncan Canal,United States,Alaska-SE,56.5,-133.1,15.0,Unknown,Holocene,U
1401-022,Durango Volc Field,Mexico,Mexico,24.15,-104.45,2075.0,Cinder cone,Holocene,U
1102-011,Dutton,United States,Alaska Peninsula,55.18,-162.27,1506.0,Stratovolcano,Holocene,U
1000-11=,Dzenzursky,Russia,Kamchatka,53.637,158.922,2155.0,Compound volcano,Holocene,U
0805-011,E-san,Japan,Hokkaido-Japan,41.8,141.17,618.0,Stratovolcano,Historical,D3
1203-09-,Eagle Lake Field,United States,US-California,40.63,-120.83,1652.0,Fissure vent,Holocene,Unknown
1506-011,Easter Island,Chile,Chile-Is,-27.15,-109.383,511.0,Shield volcanoes,Holocene,U
0508-001,Eastern Gemini Seamount,Pacific Ocean,SW Pacific,-20.98,170.28,-80.0,Submarine volcano,Historical,D1
0900-38=,Ebeko,Russia,Kuril Is,50.68,156.02,1156.0,Somma volcano,Historical,D1
0604-10=,Ebulobo,Indonesia,Lesser Sunda Is,-8.808,121.18,2124.0,Stratovolcano,Historical,D1
0202-08=,"Eburru, Ol Doinyo",Kenya,Africa-E,-0.63,36.23,2856.0,Complex volcano,Holocene,U
1503-011,"Ecuador, Volcan",Ecuador,Galapagos,-0.02,-91.546,790.0,Shield volcano,Holocene,U
1105-04-,Edgecumbe,United States,Alaska-SE,57.05,-135.75,976.0,Stratovolcano,Radiocarbon,D7
1200-06-,Edziza,Canada,Canada,57.72,-130.63,2786.0,Stratovolcano,Radiocarbon,D6
1000-42-,Eggella,Russia,Kamchatka,56.57,158.52,1046.0,Shield volcano,Holocene,U
0401-03=,Egmont,New Zealand,New Zealand,-39.3,174.07,2518.0,Stratovolcano,Radiocarbon,D4
0604-16=,Egon,Indonesia,Lesser Sunda Is,-8.67,122.45,1703.0,Stratovolcano,Historical,D2
0900-27=,Ekarma,Russia,Kuril Is,48.958,153.93,1170.0,Stratovolcano,Historical,D1
0104-01-,Elbrus,Russia,Russia-SW,43.33,42.45,5633.0,Stratovolcano,Tephrochronology,D6
0202-071,Elmenteita Badlands,Kenya,Africa-E,-0.52,36.27,2126.0,Pyroclastic cone,Holocene,U
1000-59-,Elovsky,Russia,Kamchatka,57.53,160.53,1381.0,Shield volcano,Holocene,U
1102-02-,Emmons Lake,United States,Alaska Peninsula,55.33,-162.07,1465.0,Caldera,Holocene,U
0605-01=,Emperor of China,Pacific Ocean,Banda Sea,-6.62,124.22,-2850.0,Submarine volcano,Uncertain,Unknown
0202-051,Emuruangogolak,Kenya,Africa-E,1.5,36.33,1328.0,Shield volcano,Radiocarbon,D2
1301-01-,Endeavour Ridge,Pacific Ocean,Pacific-NE,47.95,-129.1,-2400.0,Submarine volcano,Historical,D1
0507-06=,Epi,Vanuatu,Vanuatu-SW Pacific,-16.68,168.37,833.0,Stratovolcano,Historical,D1
0103-01=,Erciyes Dagi,Turkey,Turkey,38.52,35.48,3916.0,Stratovolcano,Holocene,U
1900-02=,Erebus,Antarctica,Antarctica,-77.53,167.17,3794.0,Stratovolcano,Historical,D1
0201-08=,Erta Ale,Ethiopia,Africa-NE,13.6,40.67,613.0,Shield volcano,Historical,D1
0300-05-,Es Safa,Syria,Syria,33.08,37.15,979.0,Volcanic field,Historical,D3
1301-04-,Escanaba Segment,Pacific Ocean,Pacific-NE,40.983,-127.5,-1700.0,Submarine volcano,Uranium-series,D7
1505-112,"Escorial, Cerro",Argentina,Chile-N,-25.08,-68.37,5447.0,Stratovolcano,Holocene,U
1704-02=,Esjufjoll,Iceland,Iceland-SE,64.27,-16.65,1760.0,Stratovolcano,Historical,D2
0804-21=,Esmeralda Bank,United States,Mariana Is-C Pacific,15.0,145.25,-43.0,Submarine volcano,Fumarolic,U
1104-01-,Espenberg,United States,Alaska-W,66.35,-164.33,243.0,Volcanic field,Tephrochronology,D7
0304-03-,"Est, Ile de l'",French Southern & Antarctic Lands,Indian O-S,-46.43,52.2,1090.0,Stratovolcano,Holocene,Unknown
1404-131,Esteli,Nicaragua,Nicaragua,13.17,-86.4,899.0,Fissure vent,Holocene,Unknown
0101-06=,Etna,Italy,Italy,37.734,15.004,3350.0,Stratovolcano,Historical,D1
1702-02=,Eyjafjallajokull,Iceland,Iceland-S,63.63,-19.62,1666.0,Stratovolcano,Historical,D1
0403-05=,Falcon Island,Tonga,Tonga-SW Pacific,-20.32,-175.42,-17.0,Submarine volcano,Historical,D2
0804-14=,Farallon de Pajaros,United States,Mariana Is-C Pacific,20.53,144.9,360.0,Stratovolcano,Historical,D1
1802-01=,Fayal,Portugal,Azores,38.6,-28.73,1043.0,Stratovolcano,Historical,D2
1000-51-,Fedotych,Russia,Kamchatka,57.13,160.4,965.0,Shield volcano,Holocene,U
0201-19=,Fentale,Ethiopia,Africa-NE,8.975,39.93,2007.0,Stratovolcano,Historical,D3
1503-01=,Fernandina,Ecuador,Galapagos,-0.37,-91.55,1495.0,Shield volcano,Historical,D1
1504-00-,"Firura, Nevados",Peru,Peru,-15.23,-72.63,5498.0,Stratovolcano,Holocene,U
1101-35-,Fisher,United States,Aleutian Is,54.67,-164.35,1094.0,Stratovolcano,Historical,D3
1802-001,Flores,Portugal,Azores,39.4,-31.17,915.0,Stratovolcano,Radiocarbon,D7
1402-14-,Flores,Guatemala,Guatemala,14.3,-90.0,1600.0,Volcanic field,Holocene,U
1804-01=,Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829.0,Stratovolcano,Historical,D1
0403-10=,Fonualei,Tonga,Tonga-SW Pacific,-18.02,-174.325,200.0,Stratovolcano,Historical,D2
0804-22-,Forecast Seamount,United States,Mariana Is-C Pacific,13.4,143.917,,Submarine volcano,Fumarolic,U
0203-001,Fort Portal Field,Uganda,Africa-C,0.7,30.25,1524.0,Tuff cone,Holocene,U
1200-01-,Fort Selkirk,Canada,Canada,62.93,-137.38,1239.0,Volcanic field,Holocene,U
1202-14-,Four Craters Lava Field,United States,US-Oregon,43.361,-120.669,1501.0,Volcanic field,Holocene,Unknown
0303-02=,"Fournaise, Piton de la",Reunion,Indian O-W,-21.229,55.713,2631.0,Shield volcano,Historical,D1
1102-26-,Fourpeaked,United States,Alaska Peninsula,58.77,-153.68,2104.0,Stratovolcano,Uncertain,Unknown
1703-07=,Fremrinamur,Iceland,Iceland-NE,65.43,-16.65,939.0,Stratovolcano,Tephrochronology,D7
1102-01-,Frosty,United States,Alaska Peninsula,55.07,-162.82,1920.0,Stratovolcano,Holocene,U
1402-09=,Fuego,Guatemala,Guatemala,14.473,-90.88,3763.0,Stratovolcano,Historical,D1
1803-05-,Fuerteventura,Spain,Canary Is,28.358,-14.02,529.0,Fissure vent,Holocene,U
0803-03=,Fuji,Japan,Honshu-Japan,35.35,138.73,3776.0,Stratovolcano,Historical,D4
0802-091,Fukue-jima,Japan,Kyushu-Japan,32.653,128.851,317.0,Shield volcanoes,Tephrochronology,D7
0804-133,Fukujin,Japan,Volcano Is-Japan,21.925,143.442,-217.0,Submarine volcano,Historical,D1
0804-13=,Fukutoku-okanoba,Japan,Volcano Is-Japan,24.28,141.52,-14.0,Submarine volcano,Historical,D1
1802-10=,Furnas,Portugal,Azores,37.77,-25.32,805.0,Stratovolcano,Historical,D5
0900-34=,Fuss Peak,Russia,Kuril Is,50.27,155.25,1772.0,Stratovolcano,Historical,D3
0201-15=,Gabillema,Ethiopia,Africa-NE,11.08,41.27,1459.0,Stratovolcano,Holocene,U
0201-05=,Gada Ale,Ethiopia,Africa-NE,13.975,40.408,287.0,Stratovolcano,Holocene,U
1303-02-,Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,-2430.0,Submarine volcano,Historical,D1
1304-07-,Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,-2430.0,Submarine volcano,Historical,D2
1501-08=,Galeras,Colombia,Colombia,1.22,-77.37,4276.0,Complex volcano,Historical,D1
0505-062,Gallego,Solomon Is.,Solomon Is-SW Pacifi,-9.35,159.73,1000.0,Volcanic field,Holocene,Unknown
0603-14=,Galunggung,Indonesia,Java,-7.25,108.05,2168.0,Stratovolcano,Historical,D1
0608-06=,Gamalama,Indonesia,Halmahera-Indonesia,0.8,127.325,1715.0,Stratovolcano,Historical,D1
1000-21=,Gamchen,Russia,Kamchatka,54.973,160.702,2576.0,Complex volcano,Holocene,U
0608-04=,Gamkonora,Indonesia,Halmahera-Indonesia,1.375,127.52,1635.0,Stratovolcano,Historical,D1
0502-07=,Garbuna Group,Papua New Guinea,New Britain-SW Pac,-5.45,150.03,564.0,Stratovolcano,Holocene,U
1101-07-,Gareloi,United States,Aleutian Is,51.78,-178.8,1573.0,Stratovolcano,Historical,D1
1200-19-,Garibaldi Lake,Canada,Canada,49.92,-123.03,2316.0,Volcanic field,Holocene,U
1200-20-,"Garibaldi, Mt.",Canada,Canada,49.85,-123.0,2678.0,Stratovolcano,Radiocarbon,D7
0502-03=,Garove,Papua New Guinea,New Britain-SW Pac,-4.692,149.5,368.0,Stratovolcano,Holocene,U
0502-06=,Garua Harbour,Papua New Guinea,New Britain-SW Pac,-5.269,150.088,565.0,Volcanic field,Holocene,Unknown
0507-02=,Gaua,Vanuatu,Vanuatu-SW Pacific,-14.27,167.5,797.0,Stratovolcano,Historical,D1
0201-23-,Gedamsa Caldera,Ethiopia,Africa-NE,8.35,39.18,1984.0,Caldera,Holocene,U
0603-06=,Gede,Indonesia,Java,-6.78,106.98,2958.0,Stratovolcano,Historical,D2
1503-081,Genovesa,Ecuador,Galapagos,0.32,-89.958,64.0,Shield volcano,Holocene,U
1000-38-,Geodesistoy,Russia,Kamchatka,56.33,158.67,1170.0,Shield volcano,Holocene,U
0402-022,Giggenbach,New Zealand,Kermadec Is,-30.036,-178.713,-65.0,Submarine volcano,Fumarolic,U
0103-022,Girekol,Turkey,Turkey,39.17,43.33,0.0,Unknown,Holocene,U
1201-02-,Glacier Peak,United States,US-Washington,48.112,-121.113,3213.0,Stratovolcano,Tephrochronology,D4
1401-097,"Gloria, La",Mexico,Mexico,19.33,-97.25,3500.0,Volcanic field,Holocene,U
1203-17-,Golden Trout Creek,United States,US-California,36.358,-118.32,2886.0,Volcanic field,Tephrochronology,D7
0900-091,Golets-Tornyi Group,Russia,Kuril Is,45.25,148.35,442.0,Pyroclastic cone,Holocene,Unknown
0103-003,Gollu Dag,Turkey,Turkey,38.25,34.57,2143.0,Lava dome,Holocene,U
0900-01=,Golovnin,Russia,Kuril Is,43.85,145.53,541.0,Caldera,Historical,D3
0503-041,Goodenough,Papua New Guinea,D'Entrecasteaux Is,-9.48,150.35,220.0,Volcanic field,Holocene,U
1105-021,Gordon,United States,Alaska-E,62.13,-143.08,2755.0,Cinder cone,Holocene,U
1000-07=,Gorely,Russia,Kamchatka,52.558,158.03,1829.0,Caldera,Historical,D1
0900-17=,Goriaschaia Sopka,Russia,Kuril Is,46.83,151.75,891.0,Stratovolcano,Historical,D2
1000-53-,Gorny Institute,Russia,Kamchatka,57.33,160.2,2125.0,Stratovolcano,Holocene,U
1802-04=,Graciosa,Portugal,Azores,39.02,-27.97,402.0,Stratovolcano,Holocene,U
1803-04-,Gran Canaria,Spain,Canary Is,28.0,-15.58,1950.0,Fissure vent,Radiocarbon,D7
1101-12-,Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740.0,Stratovolcano,Historical,D1
1102-19-,Griggs,United States,Alaska Peninsula,58.35,-155.1,2317.0,Stratovolcano,Holocene,U
0303-001,"Grille, La",Comoros,Indian O-W,-11.47,43.33,1087.0,Shield volcano,Holocene,U
1701-06=,Grimsnes,Iceland,Iceland-SW,64.03,-20.87,214.0,Crater rows,Tephrochronology,D7
1703-01=,Grimsvotn,Iceland,Iceland-NE,64.42,-17.33,1725.0,Caldera,Historical,D1
0201-116,Groppo,Ethiopia,Africa-NE,11.73,40.25,930.0,Stratovolcano,Holocene,U
0900-07=,Grozny Group,Russia,Kuril Is,45.02,147.87,1211.0,Complex volcano,Historical,D1
1401-006,Guadalupe,Mexico,Mexico,29.07,-118.28,1100.0,Shield volcano,Holocene,U
1502-02=,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784.0,Stratovolcano,Historical,D1
1505-02=,Guallatiri,Chile,Chile-N,-18.42,-69.17,6071.0,Stratovolcano,Historical,D2
1505-093,Guayaques,Bolivia,Chile-N,-22.88,-67.58,5598.0,Lava dome,Holocene,U
1403-052,Guazapa,El Salvador,El Salvador,13.9,-89.12,1438.0,Stratovolcano,Holocene,U
0201-124,Gufa,Eritrea,Africa-NE,12.55,42.53,600.0,Volcanic field,Holocene,U
0804-19=,Guguan,United States,Mariana Is-C Pacific,17.32,145.85,287.0,Stratovolcano,Historical,D3
0603-13=,Guntur,Indonesia,Java,-7.13,107.83,2249.0,Complex volcano,Historical,D3
0605-03=,Gunungapi Wetar,Pacific Ocean,Banda Sea,-6.642,126.65,282.0,Stratovolcano,Historical,D5
0804-05=,Hachijo-jima,Japan,Izu Is-Japan,33.13,139.77,854.0,Stratovolcano,Historical,D5
0803-25=,Hachimantai,Japan,Honshu-Japan,39.95,140.85,1614.0,Stratovolcano,Holocene,Unknown
0705-001,Hainan Dao,China,SE Asia,19.7,110.1,,Pyroclastic cones,Historical,D2
0803-28=,Hakkoda Group,Japan,Honshu-Japan,40.65,140.88,1585.0,Stratovolcano,Holocene,U
0803-02=,Hakone,Japan,Honshu-Japan,35.22,139.02,1438.0,Complex volcano,Radiocarbon,D7
0803-05=,Haku-san,Japan,Honshu-Japan,36.15,136.78,2702.0,Stratovolcano,Historical,D5
1302-06-,Haleakala,United States,Hawaiian Is,20.708,-156.25,3055.0,Shield volcano,Historical,D4
1006-04-,Halla,South Korea,Korea,33.37,126.53,1950.0,Shield volcano,Historical,D6
0201-022,Hanish,Yemen,Red Sea,13.72,42.73,422.0,Shield volcano,Holocene,U
0502-10=,Hargy,Papua New Guinea,New Britain-SW Pac,-5.33,151.1,1148.0,Stratovolcano,Radiocarbon,D6
0301-001,"Harrah, Al",Saudi Arabia,Arabia-W,31.083,38.417,1100.0,Volcanic field,Holocene,U
0205-007,Haruj,Libya,Africa-N,27.25,17.5,1200.0,Scoria cone,Holocene,U
0803-122,Haruna,Japan,Honshu-Japan,36.47,138.88,1449.0,Stratovolcano,Anthropology,D6
0103-002,Hasan Dagi,Turkey,Turkey,38.13,34.17,3253.0,Stratovolcano,Holocene,U
0705-04-,Haut Dong Nai,Vietnam,SE Asia,11.6,108.2,1000.0,Volcanic field,Holocene,Unknown
1103-05-,Hayes,United States,Alaska-SW,61.62,-152.48,2788.0,Stratovolcano,Radiocarbon,D6
0301-11-,"Haylan, Jabal",Yemen,Arabia-S,15.43,44.78,1550.0,Volcanic field,Anthropology,D7
0201-091,Hayli Gubbi,Ethiopia,Africa-NE,13.5,40.72,521.0,Shield volcano,Holocene,U
0401-14-,Healy,New Zealand,New Zealand,-35.004,178.973,980.0,Submarine volcano,Radiocarbon,D6
0304-01=,Heard,Heard I. & McDonald Is.,Indian O-S,-53.106,73.513,2745.0,Stratovolcano,Historical,D1
1200-04-,Heart Peaks,Canada,Canada,58.6,-131.97,2012.0,Shield volcano,Holocene,U
1702-07=,Hekla,Iceland,Iceland-S,63.98,-19.7,1491.0,Stratovolcano,Historical,D1
1204-04-,Hell's Half Acre,United States,US-Idaho,43.5,-112.45,1631.0,Shield volcano,Radiocarbon,D7
1701-05=,Hengill,Iceland,Iceland-SW,64.18,-21.33,803.0,Crater rows,Radiocarbon,D6
1101-22-,Herbert,United States,Aleutian Is,52.75,-170.12,1290.0,Stratovolcano,Holocene,U
0201-171,Hertali,Ethiopia,Africa-NE,9.78,40.33,900.0,Fissure vent,Holocene,U
1803-02-,Hierro,Spain,Canary Is,27.73,-18.03,1500.0,Shield volcano,Historical,D4
0803-191,Hijiori,Japan,Honshu-Japan,38.6,140.18,516.0,Caldera,Radiocarbon,D7
0608-052,Hiri,Indonesia,Halmahera-Indonesia,0.88,127.32,630.0,Stratovolcano,Holocene,U
0803-131,Hiuchi,Japan,Honshu-Japan,36.95,139.28,2346.0,Stratovolcano,Historical,D5
0201-293,Hobicha Caldera,Ethiopia,Africa-NE,6.78,37.83,1800.0,Caldera,Holocene,Unknown
1900-11=,Hodson,Antarctica,Antarctica,-56.7,-27.15,1005.0,Stratovolcano,Holocene,U
1701-09=,Hofsjokull,Iceland,Iceland-SW,64.78,-18.92,1782.0,Subglacial volcano,Holocene,U
0202-07=,Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751.0,Complex volcano,Holocene,U
0403-08=,Home Reef,Tonga,Tonga-SW Pacific,-18.992,-174.775,-2.0,Submarine volcano,Historical,D1
1005-01-,Honggeertu,China,China-E,41.47,113.0,1700.0,Cinder cone,Holocene,Unknown
1202-01-,Hood,United States,US-Oregon,45.374,-121.694,3426.0,Stratovolcano,Historical,D3
1200-08-,Hoodoo Mountain,Canada,Canada,56.78,-131.28,1820.0,Subglacial volcano,Holocene,U
1508-023,Hornopiren,Chile,Chile-S,-41.874,-72.431,1572.0,Stratovolcano,Holocene,Unknown
1701-051,Hromundartindur,Iceland,Iceland-S,64.073,-21.202,540.0,Stratovolcano,Holocene?,?
1302-04-,Hualalai,United States,Hawaiian Is,19.692,-155.87,2523.0,Shield volcano,Historical,D3
